aid,bvid,title,category,author,duration,pubdate,view_count,danmaku,reply,favorite,coin,share,like,now_rank,his_rank,tag
727020033,BV1eS4y1q7rz,科普类视频素材哪里找？,影视剪辑,牛片网,55,1654252561,39554,1,2,2081,116,243,725,0,0,经典素材
579779419,BV1664y1V7uv,【免版权|可商用|超高清】森林,短片,STAR素材,155,1702723263,39770,3,61,979,197,1192,530,0,0,经典素材
651357597,BV1he4y1N7MK,4k水墨素材分享,野生技能协会,一束光的背影,81,1675565294,122301,3,114,3641,313,2908,1614,0,0,经典素材
116380191954286,BV1qDQcBZE5u,（编号：004）7200 + 款猫 meme 绿幕素材🔥自媒体剪辑直接封神,美食制作,小墨田园记,34,1775820920,26,0,1,0,0,0,2,0,0,经典素材
608485066,BV1L84y1L7bH,【刻板印象素材】无水印无字幕,搞笑,one_way_ticket,69,1674972659,144213,635,190,8926,1114,1148,5989,0,0,经典素材
777642247,BV1s14y1u7HQ,素材,动画综合,日暮交界线,22,1673592285,487,0,0,5,2,13,20,0,0,经典素材
114125921325034,BV15dRpYKE7L,2025最新情感视频素材网站，情绪短片必备素材库,日常,银辉荆棘,124,1741423684,1161,0,0,10,0,3,9,0,0,经典素材
112987905985194,BV1RKpUekEA6,【免版权空镜】夏日绿植小草草地视频素材,影视剪辑,VISION-视频素材,27,1724058841,98344,6,41,6159,494,652,4093,0,0,经典素材
730072038,BV1pD4y1B7GR,无水印4K经典素材（需要自取）每日分享,影视剪辑,公子爱文玩,31,1661779867,33524,1,92,677,211,795,533,0,0,经典素材
113393981788158,BV1svSvY6Egu,【4K免版权空镜】河流江河水流水源水源水资源河流山水水面视频素材,出行,透光站,53,1730256206,29579,0,20,562,158,977,412,0,0,经典素材
116351167502187,BV1KPSSBBEcp,【影视素材库】还在问别人混剪电影素材哪里找？全网播放量最高的4K无水印混剪素材都在这啦！影视剪辑/视频剪辑必备！白嫖党福音~,野生技能协会,想开坦克的德芙,63,1775378043,1730,10,299,153,253,10,163,0,0,经典素材
970801542,BV1wp4y1B7By,这照片是你吗原版素材，高清纯净音质好。【让子弹飞】,影视剪辑,方块小山,17,1608965885,263451,23,55,1502,92,7200,5329,0,0,经典素材
241479742,BV1Fe411n7CD,校园素材混剪｜高清4K正版可商用【新片场素材】,短片,新片场素材,64,1705663800,123374,2,167,2984,393,2387,1569,0,0,经典素材
957463185,BV1Xp4y1J7Js,好兆头空镜 | 来感受来自天堂和地狱的极致美学 |【Good Omens】,影视剪辑,彤yy蔺小贞,140,1692456277,28383,8,86,2886,630,344,3331,0,0,经典素材
113117812035570,BV1iH46eNEv7,【空镜素材】大学日常生活,日常,躺下等存款自己增加,225,1726041362,27040,3,105,561,261,1114,366,0,0,经典素材
1105455176,BV1aw4m1q7NH,高考素材｜前行必有曙光！,短片,新片场素材,44,1717661190,3582,0,2,25,4,71,12,0,0,经典素材
115281032650241,BV1Hbn9zREJj,【空镜素材】工作,影视剪辑,躺下等存款自己增加,136,1759048970,9958,0,12,136,36,447,53,0,0,经典素材
53193828,BV13441177ha,视频素材-4K大自然美景,数码,ccc将军号,99,1558451832,46059,9,61,955,129,1066,506,0,0,经典素材
116112998014851,BV1ygfFBQEpY,MOGGED素材  淘汰素材,日常,珩戬,23,1771743886,5953,9,36,84,13,18,71,0,0,经典素材
116000104124972,BV1frFNzfEYy,韵空镜素材03,亲子,一大口西瓜桶,22,1770021179,7913,0,4,113,6,0,63,0,0,经典素材
657633134,BV1Ha4y1A76i,唯美炫丽宇宙银河加长回忆led背景视频素材,日常,雪舞琉璃,153,1687576853,17330,0,8,409,10,242,120,0,0,经典素材
